Systemdate,Applewood.InfoHighDump.signal_level,Applewood.InfoHighDump.latency_max_ms,Applewood.InfoHighDump.latency_packet_loss_count,Applewood.InfoHighDump.lte_state,Applewood.InfoHighDump.rssi,Applewood.InfoHighDump.rsrq,Applewood.InfoHighDump.rsrp,Applewood.InfoHighDump.rx_channel,Applewood.InfoHighDump.tx_channel,Applewood.InfoHighDump.band
2026-01-30T01:26:17,31,97,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:26:32,31,97,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:26:47,31,97,0,4,-49,-15,-82,66961,131697,eutran-66
2026-01-30T01:26:59,31,97,0,4,-49,-15,-82,66961,131697,eutran-66
2026-01-30T01:27:18,31,97,0,4,-52,-12,-82,66961,131697,eutran-66
2026-01-30T01:27:32,31,97,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:27:47,31,42,0,4,-47,-15,-81,66961,131697,eutran-66
2026-01-30T01:28:02,31,42,0,4,-47,-15,-78,66961,131697,eutran-66
2026-01-30T01:28:17,31,42,0,4,-52,-11,-83,66961,131697,eutran-66
2026-01-30T01:28:32,31,42,0,4,-51,-14,-82,66961,131697,eutran-66
2026-01-30T01:28:47,31,42,0,4,-48,-14,-82,66961,131697,eutran-66
2026-01-30T01:29:02,31,42,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:29:17,30,42,0,4,-53,-13,-82,66961,131697,eutran-66
2026-01-30T01:29:32,31,42,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:29:47,31,42,0,4,-52,-11,-80,66961,131697,eutran-66
2026-01-30T01:30:02,31,42,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T01:30:18,29,42,0,4,-54,-11,-82,66961,131697,eutran-66
2026-01-30T01:30:32,31,42,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T01:30:47,31,42,0,4,-52,-13,-81,66961,131697,eutran-66
2026-01-30T01:31:02,31,42,0,4,-50,-13,-82,66961,131697,eutran-66
2026-01-30T01:31:17,31,42,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T01:31:32,31,42,0,4,-52,-11,-81,66961,131697,eutran-66
